label,category,condition,peak,fired
00054_Sandy_200_clean.wav,positive,clean,,0
00042_Junior_200_clean.wav,positive,clean,,1
00032_Grandma_def_clean.wav,positive,clean,,0
00066_Moira_200_clean.wav,positive,clean,,1
00043_Junior_240_clean.wav,positive,clean,,1
00023_Ralph_240_clean.wav,positive,clean,,1
00023_Ralph_240_reverb.wav,positive,reverb,,0
00054_Sandy_200_reverb.wav,positive,reverb,,0
00000_Samantha_def_reverb.wav,positive,reverb,,1
00063_Tessa_240_reverb.wav,positive,reverb,,1
00047_Reed_240_reverb.wav,positive,reverb,,0
00016_Kathy_def_reverb.wav,positive,reverb,,0
00016_Kathy_def_quiet.wav,positive,quiet,,0
00014_Fred_200_quiet.wav,positive,quiet,,1
00054_Sandy_200_quiet.wav,positive,quiet,,0
00015_Fred_240_quiet.wav,positive,quiet,,1
00064_Moira_def_quiet.wav,positive,quiet,,1
00021_Ralph_160_quiet.wav,positive,quiet,,1
00039_Grandpa_240_noisy20.wav,positive,noisy20,,1
00030_Flo_200_noisy20.wav,positive,noisy20,,1
00004_Daniel_def_noisy20.wav,positive,noisy20,,1
00024_Albert_def_noisy20.wav,positive,noisy20,,0
00054_Sandy_200_noisy20.wav,positive,noisy20,,1
00045_Reed_160_noisy20.wav,positive,noisy20,,1
00019_Kathy_240_noisy10.wav,positive,noisy10,,1
00023_Ralph_240_noisy10.wav,positive,noisy10,,1
00063_Tessa_240_noisy10.wav,positive,noisy10,,1
00026_Albert_200_noisy10.wav,positive,noisy10,,0
00062_Tessa_200_noisy10.wav,positive,noisy10,,1
00003_Samantha_240_noisy10.wav,positive,noisy10,,1
00000_Samantha_def_noisy5.wav,positive,noisy5,,1
00054_Sandy_200_noisy5.wav,positive,noisy5,,0
00037_Grandpa_160_noisy5.wav,positive,noisy5,,1
00043_Junior_240_noisy5.wav,positive,noisy5,,1
00058_Shelley_200_noisy5.wav,positive,noisy5,,0
00027_Albert_240_noisy5.wav,positive,noisy5,,0
00063_Tessa_240_noisy0.wav,positive,noisy0,,1
00010_Karen_200_noisy0.wav,positive,noisy0,,0
00015_Fred_240_noisy0.wav,positive,noisy0,,0
00049_Rocko_160_noisy0.wav,positive,noisy0,,0
00030_Flo_200_noisy0.wav,positive,noisy0,,0
00012_Fred_def_noisy0.wav,positive,noisy0,,0
00006_hey-jeremy_Albert_noisy20.wav,near_miss,noisy20,,0
00007_hey-jeremy_Flo_reverb.wav,near_miss,reverb,,0
00006_hey-jeremy_Albert_noisy10.wav,near_miss,noisy10,,0
00015_hey-travis_Flo_noisy10.wav,near_miss,noisy10,,0
00009_hey-travis_Daniel_noisy0.wav,near_miss,noisy0,,0
00014_hey-travis_Albert_reverb.wav,near_miss,reverb,,0
00020_hi-jarvis_Kathy_reverb.wav,near_miss,reverb,,0
00023_hi-jarvis_Flo_quiet.wav,near_miss,quiet,,0
00018_hi-jarvis_Karen_noisy5.wav,near_miss,noisy5,,0
00024_a-jarvis_Samantha_noisy5.wav,near_miss,noisy5,,0
00031_a-jarvis_Flo_clean.wav,near_miss,clean,,0
00025_a-jarvis_Daniel_noisy20.wav,near_miss,noisy20,,0
00038_hey-there_Albert_noisy20.wav,near_miss,noisy20,,0
00032_hey-there_Samantha_quiet.wav,near_miss,quiet,,0
00038_hey-there_Albert_reverb.wav,near_miss,reverb,,0
00045_hey-darkness_Ralph_noisy10.wav,near_miss,noisy10,,0
00040_hey-darkness_Samantha_quiet.wav,near_miss,quiet,,1
00044_hey-darkness_Kathy_noisy20.wav,near_miss,noisy20,,1
00052_jarvis_Kathy_reverb.wav,near_miss,reverb,,0
00051_jarvis_Fred_noisy20.wav,near_miss,noisy20,,0
00053_jarvis_Ralph_noisy20.wav,near_miss,noisy20,,0
00056_hey-alexa_Samantha_noisy5.wav,near_miss,noisy5,,0
00063_hey-alexa_Flo_noisy5.wav,near_miss,noisy5,,0
00060_hey-alexa_Kathy_noisy10.wav,near_miss,noisy10,,0
00071_hey-harris_Flo_noisy0.wav,near_miss,noisy0,,0
00070_hey-harris_Albert_clean.wav,near_miss,clean,,0
00069_hey-harris_Ralph_reverb.wav,near_miss,reverb,,1
00075_hey-james_Fred_reverb.wav,near_miss,reverb,,0
00076_hey-james_Kathy_reverb.wav,near_miss,reverb,,0
00074_hey-james_Karen_noisy5.wav,near_miss,noisy5,,0
00080_okay-jarvis_Samantha_noisy5.wav,near_miss,noisy5,,1
