label,category,condition,oww_fired,vosk_fired,oww_detail,vosk_detail
0_Samantha_r160.wav,positive_clean,clean,0,0,,
10_Karen_r190.wav,positive_clean,clean,0,0,,
11_Karen_r220.wav,positive_clean,clean,0,0,,
12_Moira_r160.wav,positive_clean,clean,0,0,,
13_Moira_r190.wav,positive_clean,clean,0,0,,
14_Moira_r220.wav,positive_clean,clean,0,0,,
15_Rishi_r160.wav,positive_clean,clean,0,0,,
16_Rishi_r190.wav,positive_clean,clean,0,0,,
17_Rishi_r220.wav,positive_clean,clean,0,0,,
18_Tessa_r160.wav,positive_clean,clean,0,0,,
19_Tessa_r190.wav,positive_clean,clean,0,0,,
1_Samantha_r190.wav,positive_clean,clean,0,0,,
20_Tessa_r220.wav,positive_clean,clean,0,0,,
2_Samantha_r220.wav,positive_clean,clean,0,0,,
3_Fred_r160.wav,positive_clean,clean,0,0,,
4_Fred_r190.wav,positive_clean,clean,0,0,,
5_Fred_r220.wav,positive_clean,clean,0,0,,
6_Daniel_r160.wav,positive_clean,clean,0,0,,
7_Daniel_r190.wav,positive_clean,clean,0,0,,
8_Daniel_r220.wav,positive_clean,clean,0,0,,
9_Karen_r160.wav,positive_clean,clean,0,0,,
