label,category,condition,peak,fired,peak_rms
00054_Sandy_200_clean.wav,positive,clean,0.866,,1340
00042_Junior_200_clean.wav,positive,clean,0.695,,1883
00032_Grandma_def_clean.wav,positive,clean,0.947,,3097
00066_Moira_200_clean.wav,positive,clean,0.998,,2164
00043_Junior_240_clean.wav,positive,clean,0.968,,1741
00023_Ralph_240_clean.wav,positive,clean,0.703,,1516
00023_Ralph_240_reverb.wav,positive,reverb,0.514,,2485
00054_Sandy_200_reverb.wav,positive,reverb,0.943,,2906
00000_Samantha_def_reverb.wav,positive,reverb,0.357,,3193
00063_Tessa_240_reverb.wav,positive,reverb,0.783,,3600
00047_Reed_240_reverb.wav,positive,reverb,0.201,,2720
00016_Kathy_def_reverb.wav,positive,reverb,0.627,,4775
00016_Kathy_def_quiet.wav,positive,quiet,0.439,,1102
00014_Fred_200_quiet.wav,positive,quiet,0.997,,721
00054_Sandy_200_quiet.wav,positive,quiet,0.810,,930
00015_Fred_240_quiet.wav,positive,quiet,0.996,,878
00064_Moira_def_quiet.wav,positive,quiet,0.999,,1707
00021_Ralph_160_quiet.wav,positive,quiet,0.972,,1416
00039_Grandpa_240_noisy20.wav,positive,noisy20,0.990,,3324
00030_Flo_200_noisy20.wav,positive,noisy20,0.445,,4053
00004_Daniel_def_noisy20.wav,positive,noisy20,0.993,,4366
00024_Albert_def_noisy20.wav,positive,noisy20,0.910,,5995
00054_Sandy_200_noisy20.wav,positive,noisy20,0.993,,2528
00045_Reed_160_noisy20.wav,positive,noisy20,0.989,,5107
00019_Kathy_240_noisy10.wav,positive,noisy10,0.251,,2916
00023_Ralph_240_noisy10.wav,positive,noisy10,0.891,,2263
00063_Tessa_240_noisy10.wav,positive,noisy10,0.778,,3413
00026_Albert_200_noisy10.wav,positive,noisy10,0.981,,5021
00062_Tessa_200_noisy10.wav,positive,noisy10,0.884,,2990
00003_Samantha_240_noisy10.wav,positive,noisy10,0.350,,3562
00000_Samantha_def_noisy5.wav,positive,noisy5,0.357,,3886
00054_Sandy_200_noisy5.wav,positive,noisy5,0.881,,2543
00037_Grandpa_160_noisy5.wav,positive,noisy5,0.908,,3874
00043_Junior_240_noisy5.wav,positive,noisy5,0.468,,2462
00058_Shelley_200_noisy5.wav,positive,noisy5,0.486,,4295
00027_Albert_240_noisy5.wav,positive,noisy5,0.932,,3564
00063_Tessa_240_noisy0.wav,positive,noisy0,0.360,,3615
00010_Karen_200_noisy0.wav,positive,noisy0,0.169,,4669
00015_Fred_240_noisy0.wav,positive,noisy0,0.464,,1918
00049_Rocko_160_noisy0.wav,positive,noisy0,0.175,,3938
00030_Flo_200_noisy0.wav,positive,noisy0,0.013,,4224
00012_Fred_def_noisy0.wav,positive,noisy0,0.456,,2260
00006_hey-jeremy_Albert_noisy20.wav,near_miss,noisy20,0.397,,2770
00007_hey-jeremy_Flo_reverb.wav,near_miss,reverb,0.022,,1838
00006_hey-jeremy_Albert_noisy10.wav,near_miss,noisy10,0.091,,3214
00015_hey-travis_Flo_noisy10.wav,near_miss,noisy10,0.312,,3496
00009_hey-travis_Daniel_noisy0.wav,near_miss,noisy0,0.183,,4203
00014_hey-travis_Albert_reverb.wav,near_miss,reverb,0.011,,7781
00020_hi-jarvis_Kathy_reverb.wav,near_miss,reverb,0.348,,3767
00023_hi-jarvis_Flo_quiet.wav,near_miss,quiet,0.577,,1508
00018_hi-jarvis_Karen_noisy5.wav,near_miss,noisy5,0.236,,4685
00024_a-jarvis_Samantha_noisy5.wav,near_miss,noisy5,0.077,,3724
00031_a-jarvis_Flo_clean.wav,near_miss,clean,0.014,,4325
00025_a-jarvis_Daniel_noisy20.wav,near_miss,noisy20,0.425,,2847
00038_hey-there_Albert_noisy20.wav,near_miss,noisy20,0.361,,1581
00032_hey-there_Samantha_quiet.wav,near_miss,quiet,0.178,,1712
00038_hey-there_Albert_reverb.wav,near_miss,reverb,0.011,,6592
00045_hey-darkness_Ralph_noisy10.wav,near_miss,noisy10,0.229,,2020
00040_hey-darkness_Samantha_quiet.wav,near_miss,quiet,0.001,,2457
00044_hey-darkness_Kathy_noisy20.wav,near_miss,noisy20,0.275,,4070
00052_jarvis_Kathy_reverb.wav,near_miss,reverb,0.079,,4721
00051_jarvis_Fred_noisy20.wav,near_miss,noisy20,0.603,,1420
00053_jarvis_Ralph_noisy20.wav,near_miss,noisy20,0.468,,2274
00056_hey-alexa_Samantha_noisy5.wav,near_miss,noisy5,0.023,,3348
00063_hey-alexa_Flo_noisy5.wav,near_miss,noisy5,0.081,,1919
00060_hey-alexa_Kathy_noisy10.wav,near_miss,noisy10,0.005,,2523
00071_hey-harris_Flo_noisy0.wav,near_miss,noisy0,0.289,,3249
00070_hey-harris_Albert_clean.wav,near_miss,clean,0.354,,6311
00069_hey-harris_Ralph_reverb.wav,near_miss,reverb,0.982,,3496
00075_hey-james_Fred_reverb.wav,near_miss,reverb,0.102,,1921
00076_hey-james_Kathy_reverb.wav,near_miss,reverb,0.033,,3539
00074_hey-james_Karen_noisy5.wav,near_miss,noisy5,0.172,,3223
00080_okay-jarvis_Samantha_noisy5.wav,near_miss,noisy5,0.403,,4018
00083_okay-jarvis_Fred_noisy0.wav,near_miss,noisy0,0.044,,1952
00082_okay-jarvis_Karen_noisy20.wav,near_miss,noisy20,0.960,,4675
00088_hey-jervis_Samantha_clean.wav,near_miss,clean,0.866,,2587
00094_hey-jervis_Albert_clean.wav,near_miss,clean,0.280,,1908
00091_hey-jervis_Fred_clean.wav,near_miss,clean,0.946,,2191
00101_hey-charmless_Ralph_reverb.wav,near_miss,reverb,0.406,,3361
00102_hey-charmless_Albert_noisy10.wav,near_miss,noisy10,0.662,,4377
00099_hey-charmless_Fred_clean.wav,near_miss,clean,0.992,,2559
00108_they-marvis_Kathy_clean.wav,near_miss,clean,0.006,,3570
00111_they-marvis_Flo_noisy0.wav,near_miss,noisy0,0.030,,3580
00109_they-marvis_Ralph_quiet.wav,near_miss,quiet,0.004,,1228
00114_hey-service_Karen_quiet.wav,near_miss,quiet,0.002,,1826
00118_hey-service_Albert_noisy5.wav,near_miss,noisy5,0.315,,2753
00114_hey-service_Karen_noisy0.wav,near_miss,noisy0,0.156,,4079
bg_00022.wav,background,speech,0.002,,7117
bg_00024.wav,background,speech,0.001,,4791
bg_00012.wav,background,speech,0.002,,6605
bg_00137.wav,background,speech,0.003,,6248
bg_00167.wav,background,speech,0.001,,3491
bg_00101.wav,background,speech,0.006,,3997
bg_00152.wav,background,speech,0.014,,3364
bg_00065.wav,background,speech,0.002,,13469
bg_00159.wav,background,speech,0.001,,3590
bg_00176.wav,background,speech,0.000,,4265
