label,category,condition,peak,fired,peak_rms
00054_Sandy_200_clean.wav,positive,clean,0.989,,1223
00042_Junior_200_clean.wav,positive,clean,0.139,,1877
00032_Grandma_def_clean.wav,positive,clean,0.944,,3444
00066_Moira_200_clean.wav,positive,clean,0.996,,2049
00043_Junior_240_clean.wav,positive,clean,0.616,,1732
00023_Ralph_240_clean.wav,positive,clean,0.596,,1515
00023_Ralph_240_reverb.wav,positive,reverb,0.479,,2673
00054_Sandy_200_reverb.wav,positive,reverb,0.318,,2710
00000_Samantha_def_reverb.wav,positive,reverb,0.260,,3278
00063_Tessa_240_reverb.wav,positive,reverb,0.905,,3843
00047_Reed_240_reverb.wav,positive,reverb,0.211,,2971
00016_Kathy_def_reverb.wav,positive,reverb,0.475,,4649
00016_Kathy_def_quiet.wav,positive,quiet,0.638,,1044
00014_Fred_200_quiet.wav,positive,quiet,0.997,,701
00054_Sandy_200_quiet.wav,positive,quiet,0.978,,934
00015_Fred_240_quiet.wav,positive,quiet,0.995,,810
00064_Moira_def_quiet.wav,positive,quiet,0.999,,1657
00021_Ralph_160_quiet.wav,positive,quiet,0.983,,1447
00039_Grandpa_240_noisy20.wav,positive,noisy20,0.965,,3557
00030_Flo_200_noisy20.wav,positive,noisy20,0.928,,4628
00004_Daniel_def_noisy20.wav,positive,noisy20,0.991,,4800
00024_Albert_def_noisy20.wav,positive,noisy20,0.841,,5506
00054_Sandy_200_noisy20.wav,positive,noisy20,0.964,,2555
00045_Reed_160_noisy20.wav,positive,noisy20,0.991,,5077
00019_Kathy_240_noisy10.wav,positive,noisy10,0.349,,2805
00023_Ralph_240_noisy10.wav,positive,noisy10,0.653,,2220
00063_Tessa_240_noisy10.wav,positive,noisy10,0.767,,3168
00026_Albert_200_noisy10.wav,positive,noisy10,0.989,,4784
00062_Tessa_200_noisy10.wav,positive,noisy10,0.816,,3026
00003_Samantha_240_noisy10.wav,positive,noisy10,0.430,,3707
00000_Samantha_def_noisy5.wav,positive,noisy5,0.483,,4471
00054_Sandy_200_noisy5.wav,positive,noisy5,0.713,,2553
00037_Grandpa_160_noisy5.wav,positive,noisy5,0.731,,3637
00043_Junior_240_noisy5.wav,positive,noisy5,0.651,,2535
00058_Shelley_200_noisy5.wav,positive,noisy5,0.400,,4213
00027_Albert_240_noisy5.wav,positive,noisy5,0.643,,3812
00063_Tessa_240_noisy0.wav,positive,noisy0,0.529,,3359
00010_Karen_200_noisy0.wav,positive,noisy0,0.106,,4277
00015_Fred_240_noisy0.wav,positive,noisy0,0.000,,1457
00049_Rocko_160_noisy0.wav,positive,noisy0,0.000,,0
00030_Flo_200_noisy0.wav,positive,noisy0,0.046,,3912
00012_Fred_def_noisy0.wav,positive,noisy0,0.369,,2312
00006_hey-jeremy_Albert_noisy20.wav,near_miss,noisy20,0.279,,2373
00007_hey-jeremy_Flo_reverb.wav,near_miss,reverb,0.027,,1823
00006_hey-jeremy_Albert_noisy10.wav,near_miss,noisy10,0.442,,2749
